iter	Logloss	CrossEntropy	Accuracy
166	0.05500619343	0.05500619343	0.9784647171
167	0.05488439	0.05488439	0.9785123967
168	0.05482670362	0.05482670362	0.9785441831
169	0.05463058845	0.05463058845	0.9785282899
170	0.05455881585	0.05455881585	0.9785441831
171	0.05436245545	0.05436245545	0.9785282899
172	0.05426045364	0.05426045364	0.9785441831
173	0.05407858468	0.05407858468	0.9785600763
174	0.05403408486	0.05403408486	0.9785759695
175	0.05395181733	0.05395181733	0.9785600763
176	0.0538508085	0.0538508085	0.9785441831
177	0.05375793566	0.05375793566	0.9785600763
178	0.0536691828	0.0536691828	0.9785918627
179	0.05353623688	0.05353623688	0.9785918627
180	0.05340506455	0.05340506455	0.9786395423
181	0.05335041607	0.05335041607	0.9786395423
182	0.05326729244	0.05326729244	0.9786872219
183	0.05297593637	0.05297593637	0.9787349015
184	0.05281937959	0.05281937959	0.9787349015
185	0.05271753133	0.05271753133	0.9787031151
186	0.0525988839	0.0525988839	0.9787031151
187	0.05248532154	0.05248532154	0.9787349015
188	0.05236443042	0.05236443042	0.9787507947
189	0.05229864513	0.05229864513	0.9787825811
190	0.05222540791	0.05222540791	0.9787349015
191	0.05210854599	0.05210854599	0.9787825811
192	0.05201753689	0.05201753689	0.9788143675
193	0.05186076156	0.05186076156	0.9788302606
194	0.05178715391	0.05178715391	0.9788143675
195	0.05173075993	0.05173075993	0.9787825811
196	0.05169399578	0.05169399578	0.9787984743
197	0.05159228398	0.05159228398	0.9789256198
198	0.05143727051	0.05143727051	0.9790050858
199	0.05131107157	0.05131107157	0.9789732994
200	0.05124962445	0.05124962445	0.9789891926
201	0.05118596688	0.05118596688	0.9790527654
202	0.0510241247	0.0510241247	0.9790686586
203	0.05097593934	0.05097593934	0.979020979
204	0.05093431154	0.05093431154	0.9790527654
205	0.05081381848	0.05081381848	0.979100445
206	0.05073983275	0.05073983275	0.979100445
207	0.05065544939	0.05065544939	0.9791640178
208	0.05061520711	0.05061520711	0.9791322314
209	0.05044817093	0.05044817093	0.9792116974
210	0.05041331152	0.05041331152	0.9791640178
211	0.05034441794	0.05034441794	0.9791640178
212	0.05031658987	0.05031658987	0.9791640178
213	0.05026604217	0.05026604217	0.9791322314
214	0.05022770451	0.05022770451	0.9791640178
215	0.05013540914	0.05013540914	0.9791640178
216	0.05008035137	0.05008035137	0.9791640178
217	0.04999488557	0.04999488557	0.979179911
218	0.04994330092	0.04994330092	0.9791958042
219	0.04976789581	0.04976789581	0.9792434838
220	0.04969567195	0.04969567195	0.9792434838
221	0.04962389106	0.04962389106	0.9792434838
222	0.04958318871	0.04958318871	0.9792275906
223	0.04950069814	0.04950069814	0.9792434838
224	0.04940224213	0.04940224213	0.9793547362
225	0.04935603598	0.04935603598	0.9793547362
226	0.04930230646	0.04930230646	0.9793547362
227	0.04924350674	0.04924350674	0.979338843
228	0.04917040516	0.04917040516	0.9793706294
229	0.04899430182	0.04899430182	0.9794024158
230	0.04897565751	0.04897565751	0.9794024158
231	0.04890945504	0.04890945504	0.979418309
232	0.04881173479	0.04881173479	0.9794342022
233	0.04879407867	0.04879407867	0.9794500954
234	0.04872953405	0.04872953405	0.9794659886
235	0.04867884043	0.04867884043	0.9794659886
236	0.04862472013	0.04862472013	0.9794818818
237	0.04858567483	0.04858567483	0.979497775
238	0.04852910629	0.04852910629	0.9795772409
239	0.04847440407	0.04847440407	0.9795613477
240	0.0483617908	0.0483617908	0.9795613477
241	0.04828923786	0.04828923786	0.979497775
242	0.04810945468	0.04810945468	0.979497775
243	0.04808369487	0.04808369487	0.9795613477
